measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
25,1,MPM,20814,500,0.5,62429,100,10,11413,0.0900685
26,1,MPM,20814,500,0.5,62429,100,10,11413,0.0913262
27,1,MPM,20814,500,0.5,62429,100,10,11413,0.0910993
28,1,MPM,20814,500,0.5,62429,100,10,11413,0.0907224
29,1,MPM,20814,500,0.5,62429,100,10,11413,0.0901135
30,1,MPM,20814,500,0.5,62429,100,10,11413,0.0904179
1,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0485959
2,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0486221
3,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489559
4,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489929
5,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0487188
6,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489082
7,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0486229
8,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488723
9,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488316
10,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489072
11,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489233
12,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488718
13,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0487761
14,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489666
15,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0485821
16,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488406
17,2,Dinic,24386,500,0.5,62572,100,10,12494,0.049087
18,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488201
19,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489156
20,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489656
21,2,Dinic,24386,500,0.5,62572,100,10,12494,0.048901
22,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0491038
23,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0490795
24,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488983
25,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488719
26,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0485329
27,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0487234
28,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0487458
29,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0488499
30,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0487681
1,2,EK,24386,500,0.5,62572,100,10,12494,1.90906
2,2,EK,24386,500,0.5,62572,100,10,12494,1.83873
3,2,EK,24386,500,0.5,62572,100,10,12494,1.90656
4,2,EK,24386,500,0.5,62572,100,10,12494,1.91076
5,2,EK,24386,500,0.5,62572,100,10,12494,1.91055
6,2,EK,24386,500,0.5,62572,100,10,12494,1.84293
7,2,EK,24386,500,0.5,62572,100,10,12494,1.8343
8,2,EK,24386,500,0.5,62572,100,10,12494,1.83839
9,2,EK,24386,500,0.5,62572,100,10,12494,1.84038
10,2,EK,24386,500,0.5,62572,100,10,12494,1.8381
11,2,EK,24386,500,0.5,62572,100,10,12494,1.91055
12,2,EK,24386,500,0.5,62572,100,10,12494,1.82911
13,2,EK,24386,500,0.5,62572,100,10,12494,1.913
14,2,EK,24386,500,0.5,62572,100,10,12494,1.83959
15,2,EK,24386,500,0.5,62572,100,10,12494,1.91145
16,2,EK,24386,500,0.5,62572,100,10,12494,1.9093
17,2,EK,24386,500,0.5,62572,100,10,12494,1.83933
18,2,EK,24386,500,0.5,62572,100,10,12494,1.84118
19,2,EK,24386,500,0.5,62572,100,10,12494,1.83806
20,2,EK,24386,500,0.5,62572,100,10,12494,1.89239
21,2,EK,24386,500,0.5,62572,100,10,12494,1.84154
22,2,EK,24386,500,0.5,62572,100,10,12494,1.8351
23,2,EK,24386,500,0.5,62572,100,10,12494,1.89886
24,2,EK,24386,500,0.5,62572,100,10,12494,1.9059
25,2,EK,24386,500,0.5,62572,100,10,12494,1.9094
26,2,EK,24386,500,0.5,62572,100,10,12494,1.84405
27,2,EK,24386,500,0.5,62572,100,10,12494,1.83753
28,2,EK,24386,500,0.5,62572,100,10,12494,1.90044
29,2,EK,24386,500,0.5,62572,100,10,12494,1.84014
30,2,EK,24386,500,0.5,62572,100,10,12494,1.84163
1,2,MPM,24386,500,0.5,62572,100,10,12494,0.108803
2,2,MPM,24386,500,0.5,62572,100,10,12494,0.10729
3,2,MPM,24386,500,0.5,62572,100,10,12494,0.107313
4,2,MPM,24386,500,0.5,62572,100,10,12494,0.107836
5,2,MPM,24386,500,0.5,62572,100,10,12494,0.107483
6,2,MPM,24386,500,0.5,62572,100,10,12494,0.107827
7,2,MPM,24386,500,0.5,62572,100,10,12494,0.107653
8,2,MPM,24386,500,0.5,62572,100,10,12494,0.108449
9,2,MPM,24386,500,0.5,62572,100,10,12494,0.107845
10,2,MPM,24386,500,0.5,62572,100,10,12494,0.107743
11,2,MPM,24386,500,0.5,62572,100,10,12494,0.107405
12,2,MPM,24386,500,0.5,62572,100,10,12494,0.107537
13,2,MPM,24386,500,0.5,62572,100,10,12494,0.108295
14,2,MPM,24386,500,0.5,62572,100,10,12494,0.107501
15,2,MPM,24386,500,0.5,62572,100,10,12494,0.107431
16,2,MPM,24386,500,0.5,62572,100,10,12494,0.107555
17,2,MPM,24386,500,0.5,62572,100,10,12494,0.107683
18,2,MPM,24386,500,0.5,62572,100,10,12494,0.108146
19,2,MPM,24386,500,0.5,62572,100,10,12494,0.10832
