measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,6,EK,10145,100,0.2,986,100,10,683,0.0016691
1,6,MPM,10145,100,0.2,986,100,10,683,0.00129266
1,7,Dinic,2758,100,0.2,1030,100,10,756,0.00046935
1,7,EK,2758,100,0.2,1030,100,10,756,0.00150125
1,7,MPM,2758,100,0.2,1030,100,10,756,0.00142608
1,8,Dinic,32576,100,0.2,960,100,10,710,0.000475997
1,8,EK,32576,100,0.2,960,100,10,710,0.00122892
1,8,MPM,32576,100,0.2,960,100,10,710,0.000953217
1,9,Dinic,15336,100,0.2,980,100,10,393,0.000159962
1,9,EK,15336,100,0.2,980,100,10,393,0.000538738
1,9,MPM,15336,100,0.2,980,100,10,393,0.000435961
1,10,Dinic,7520,100,0.2,1005,100,10,626,0.000199499
1,10,EK,7520,100,0.2,1005,100,10,626,0.00104305
1,10,MPM,7520,100,0.2,1005,100,10,626,0.000627663
1,11,Dinic,16867,100,0.2,1022,100,10,698,0.000243684
1,11,EK,16867,100,0.2,1022,100,10,698,0.000790792
1,11,MPM,16867,100,0.2,1022,100,10,698,0.000741033
1,12,Dinic,7032,100,0.2,982,100,10,527,0.000194073
1,12,EK,7032,100,0.2,982,100,10,527,0.000465516
1,12,MPM,7032,100,0.2,982,100,10,527,0.000920791
1,13,Dinic,19563,100,0.2,1033,100,10,746,0.000504275
1,13,EK,19563,100,0.2,1033,100,10,746,0.00172432
1,13,MPM,19563,100,0.2,1033,100,10,746,0.000844848
1,14,Dinic,3368,100,0.2,1026,100,10,721,0.000300369
1,14,EK,3368,100,0.2,1026,100,10,721,0.00120457
1,14,MPM,3368,100,0.2,1026,100,10,721,0.000914162
1,15,Dinic,28340,100,0.2,1005,100,10,722,0.00036559
1,15,EK,28340,100,0.2,1005,100,10,722,0.00113455
1,15,MPM,28340,100,0.2,1005,100,10,722,0.00101514
1,16,Dinic,25792,100,0.2,992,100,10,732,0.000216555
1,16,EK,25792,100,0.2,992,100,10,732,0.000736293
1,16,MPM,25792,100,0.2,992,100,10,732,0.000666755
1,17,Dinic,18873,100,0.2,980,100,10,691,0.000244332
1,17,EK,18873,100,0.2,980,100,10,691,0.0010022
1,17,MPM,18873,100,0.2,980,100,10,691,0.000647774
1,18,Dinic,2311,100,0.2,1050,100,10,798,0.000260017
1,18,EK,2311,100,0.2,1050,100,10,798,0.000715348
1,18,MPM,2311,100,0.2,1050,100,10,798,0.000840681
1,19,Dinic,25578,100,0.2,1006,100,10,541,0.000322942
1,19,EK,25578,100,0.2,1006,100,10,541,0.00129179
1,19,MPM,25578,100,0.2,1006,100,10,541,0.000901495
1,20,Dinic,25887,100,0.2,968,100,10,492,0.000202017
