measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,27,Dinic,86,100,0.3,1487,100,10,1097,0.000233017
1,28,Dinic,87,100,0.3,1487,100,10,1190,0.000352534
1,29,Dinic,88,100,0.3,1469,100,10,1145,0.000205887
1,30,Dinic,89,100,0.3,1504,100,10,1544,0.000362312
1,1,Dinic,90,100,0.4,2000,100,10,1607,0.000533199
1,2,Dinic,91,100,0.4,1938,100,10,1508,0.00053068
1,3,Dinic,92,100,0.4,1990,100,10,1330,0.000299238
1,4,Dinic,93,100,0.4,1997,100,10,1833,0.000220609
1,5,Dinic,94,100,0.4,1924,100,10,1301,0.000511903
1,6,Dinic,95,100,0.4,1996,100,10,1844,0.000895141
1,7,Dinic,96,100,0.4,1974,100,10,2192,0.000945769
1,8,Dinic,97,100,0.4,1966,100,10,1737,0.000811011
1,9,Dinic,98,100,0.4,1974,100,10,1483,0.000605384
1,10,Dinic,99,100,0.4,2031,100,10,1831,0.000779179
1,11,Dinic,100,100,0.4,1967,100,10,1587,0.000307997
1,12,Dinic,101,100,0.4,1953,100,10,1781,0.000380607
1,13,Dinic,102,100,0.4,2001,100,10,1507,0.000292923
1,14,Dinic,103,100,0.4,1962,100,10,1621,0.0003587
1,15,Dinic,104,100,0.4,1947,100,10,1556,0.000546311
1,16,Dinic,105,100,0.4,1988,100,10,1074,0.000179091
1,17,Dinic,106,100,0.4,1919,100,10,1973,0.00055331
1,18,Dinic,107,100,0.4,2011,100,10,1513,0.000565477
1,19,Dinic,108,100,0.4,1942,100,10,1633,0.000549847
1,20,Dinic,109,100,0.4,2001,100,10,948,0.000362071
1,21,Dinic,110,100,0.4,1943,100,10,1929,0.000640828
1,22,Dinic,111,100,0.4,1935,100,10,1786,0.00022622
1,23,Dinic,112,100,0.4,1946,100,10,1467,0.000413867
1,24,Dinic,113,100,0.4,1999,100,10,1936,0.000753105
1,25,Dinic,114,100,0.4,1976,100,10,1023,0.00021735
1,26,Dinic,115,100,0.4,1929,100,10,1102,0.000208795
1,27,Dinic,116,100,0.4,1976,100,10,1856,0.000821085
1,28,Dinic,117,100,0.4,1988,100,10,1525,0.000488866
1,29,Dinic,118,100,0.4,2019,100,10,1655,0.000472681
1,30,Dinic,119,100,0.4,1974,100,10,1583,0.000449459
1,1,Dinic,120,100,0.5,2467,100,10,2394,0.000444514
1,2,Dinic,121,100,0.5,2513,100,10,2440,0.000295035
1,3,Dinic,122,100,0.5,2437,100,10,1890,0.000312461
1,4,Dinic,123,100,0.5,2461,100,10,2156,0.00105132
1,5,Dinic,124,100,0.5,2474,100,10,2378,0.000750215
1,6,Dinic,125,100,0.5,2493,100,10,2297,0.000968806
1,7,Dinic,126,100,0.5,2499,100,10,1903,0.000318608
1,8,Dinic,127,100,0.5,2520,100,10,2071,0.000826011
1,9,Dinic,128,100,0.5,2498,100,10,2499,0.000776326
1,10,Dinic,129,100,0.5,2579,100,10,2162,0.000451756
1,11,Dinic,130,100,0.5,2516,100,10,1762,0.000345405
1,12,Dinic,131,100,0.5,2473,100,10,2178,0.00042833
1,13,Dinic,132,100,0.5,2402,100,10,1834,0.000432941
1,14,Dinic,133,100,0.5,2450,100,10,2346,0.000353201
1,15,Dinic,134,100,0.5,2459,100,10,1927,0.000398275
1,16,Dinic,135,100,0.5,2477,100,10,1984,0.00037396
1,17,Dinic,136,100,0.5,2499,100,10,1958,0.000236942
1,18,Dinic,137,100,0.5,2483,100,10,2069,0.000618439
1,19,Dinic,138,100,0.5,2466,100,10,2515,0.000934214
1,20,Dinic,139,100,0.5,2440,100,10,2142,0.000596476
1,21,Dinic,140,100,0.5,2440,100,10,2285,0.000305405
1,22,Dinic,141,100,0.5,2438,100,10,2123,0.000498847
1,23,Dinic,142,100,0.5,2439,100,10,2098,0.000467552
1,24,Dinic,143,100,0.5,2461,100,10,2295,0.000318239
1,25,Dinic,144,100,0.5,2530,100,10,2253,0.000662716
1,26,Dinic,145,100,0.5,2523,100,10,2088,0.000505736
1,27,Dinic,146,100,0.5,2427,100,10,2096,0.000472551
1,28,Dinic,147,100,0.5,2494,100,10,2139,0.00026259
1,29,Dinic,148,100,0.5,2456,100,10,2186,0.000743678
1,30,Dinic,149,100,0.5,2524,100,10,2474,0.000482125
1,1,Dinic,150,100,0.6,2950,100,10,2914,0.000919474
1,2,Dinic,151,100,0.6,2914,100,10,2696,0.000311312
1,3,Dinic,152,100,0.6,3006,100,10,2416,0.00111482
1,4,Dinic,153,100,0.6,2987,100,10,2592,0.000384515
1,5,Dinic,154,100,0.6,3000,100,10,3051,0.000540458
1,6,Dinic,155,100,0.6,2991,100,10,2629,0.000471293
1,7,Dinic,156,100,0.6,2990,100,10,2844,0.000323053
1,8,Dinic,157,100,0.6,2970,100,10,2761,0.0003832
1,9,Dinic,158,100,0.6,2959,100,10,2593,0.000929955
1,10,Dinic,159,100,0.6,2999,100,10,2580,0.000401423
1,11,Dinic,160,100,0.6,2968,100,10,2333,0.000440163
1,12,Dinic,161,100,0.6,2971,100,10,2739,0.000260034
1,13,Dinic,162,100,0.6,2943,100,10,2165,0.000362071
1,14,Dinic,163,100,0.6,2996,100,10,2593,0.000584903
1,15,Dinic,164,100,0.6,2974,100,10,2667,0.000598921
1,16,Dinic,165,100,0.6,2937,100,10,2474,0.000664439
1,17,Dinic,166,100,0.6,2897,100,10,3023,0.000398275
1,18,Dinic,167,100,0.6,2932,100,10,2283,0.000719457
1,19,Dinic,168,100,0.6,3005,100,10,3107,0.000588958
1,20,Dinic,169,100,0.6,3004,100,10,2902,0.00114632
1,21,Dinic,170,100,0.6,2968,100,10,2596,0.000671346
1,22,Dinic,171,100,0.6,2980,100,10,2610,0.000401312
1,23,Dinic,172,100,0.6,2941,100,10,3117,0.000620143
1,24,Dinic,173,100,0.6,2981,100,10,2573,0.000640458
1,25,Dinic,174,100,0.6,3003,100,10,3028,0.000723271
1,26,Dinic,175,100,0.6,2951,100,10,2786,0.00155393
1,27,Dinic,176,100,0.6,2960,100,10,2654,0.000659069
1,28,Dinic,177,100,0.6,2921,100,10,2532,0.000556051
1,29,Dinic,178,100,0.6,2958,100,10,2598,0.000241609
1,30,Dinic,179,100,0.6,3000,100,10,2129,0.000340756
1,1,Dinic,180,100,0.7,3385,100,10,2879,0.000352886
1,2,Dinic,181,100,0.7,3508,100,10,3842,0.000879307
1,3,Dinic,182,100,0.7,3457,100,10,2969,0.000765197
1,4,Dinic,183,100,0.7,3496,100,10,2861,0.000721549
1,5,Dinic,184,100,0.7,3467,100,10,3255,0.00049757
1,6,Dinic,185,100,0.7,3399,100,10,3224,0.000648254
1,7,Dinic,186,100,0.7,3435,100,10,2777,0.000464218
1,8,Dinic,187,100,0.7,3462,100,10,3172,0.00031159
1,9,Dinic,188,100,0.7,3465,100,10,2832,0.000517163
1,10,Dinic,189,100,0.7,3398,100,10,3412,0.000575533
1,11,Dinic,190,100,0.7,3468,100,10,2949,0.000865585
1,12,Dinic,191,100,0.7,3482,100,10,3052,0.00073316
1,13,Dinic,192,100,0.7,3453,100,10,3093,0.000868177
1,14,Dinic,193,100,0.7,3415,100,10,3037,0.00051844
1,15,Dinic,194,100,0.7,3481,100,10,3188,0.000472051
1,16,Dinic,195,100,0.7,3506,100,10,3175,0.00048907
1,17,Dinic,196,100,0.7,3445,100,10,3085,0.000900474
1,18,Dinic,197,100,0.7,3426,100,10,2667,0.000294257
1,19,Dinic,198,100,0.7,3516,100,10,3282,0.000484718
1,20,Dinic,199,100,0.7,3503,100,10,2983,0.000297479
1,21,Dinic,200,100,0.7,3475,100,10,2904,0.000639809
1,22,Dinic,201,100,0.7,3462,100,10,3714,0.000459811
1,23,Dinic,202,100,0.7,3468,100,10,2556,0.00095614
1,24,Dinic,203,100,0.7,3469,100,10,3702,0.00050794
1,25,Dinic,204,100,0.7,3512,100,10,3122,0.000444996
1,26,Dinic,205,100,0.7,3444,100,10,2526,0.000951233
1,27,Dinic,206,100,0.7,3434,100,10,2775,0.000352552
1,28,Dinic,207,100,0.7,3475,100,10,3443,0.000635735
1,29,Dinic,208,100,0.7,3436,100,10,3456,0.000585958
1,30,Dinic,209,100,0.7,3431,100,10,3227,0.000628587
1,1,Dinic,210,150,0.1,1167,100,10,403,0.000369868
1,2,Dinic,211,150,0.1,1140,100,10,425,0.000398553
1,3,Dinic,212,150,0.1,1118,100,10,482,0.00032159
1,4,Dinic,213,150,0.1,1085,100,10,487,0.000222776
1,5,Dinic,214,150,0.1,1131,100,10,251,0.000219999
1,6,Dinic,215,150,0.1,1137,100,10,523,0.000382626
1,7,Dinic,216,150,0.1,1099,100,10,215,0.000147332
1,8,Dinic,217,150,0.1,1136,100,10,256,0.000193461
1,9,Dinic,218,150,0.1,1151,100,10,581,0.00021098
1,10,Dinic,219,150,0.1,1152,100,10,860,0.000704476
1,11,Dinic,220,150,0.1,1136,100,10,509,0.00020585
1,12,Dinic,221,150,0.1,1104,100,10,547,0.000271276
1,13,Dinic,222,150,0.1,1142,100,10,456,0.000248368
1,14,Dinic,223,150,0.1,1093,100,10,403,0.000328349
1,15,Dinic,224,150,0.1,1118,100,10,597,0.000471033
1,16,Dinic,225,150,0.1,1042,100,10,513,0.000236276
1,17,Dinic,226,150,0.1,1114,100,10,317,0.000295072
1,18,Dinic,227,150,0.1,1069,100,10,764,0.000469922
1,19,Dinic,228,150,0.1,1107,100,10,286,0.000235016
1,20,Dinic,229,150,0.1,1152,100,10,245,0.000359737
1,21,Dinic,230,150,0.1,1182,100,10,319,0.000199887
1,22,Dinic,231,150,0.1,1168,100,10,506,0.000412607
1,23,Dinic,232,150,0.1,1138,100,10,493,0.000197406
1,24,Dinic,233,150,0.1,1127,100,10,631,0.000417774
1,25,Dinic,234,150,0.1,1080,100,10,262,0.000230035
1,26,Dinic,235,150,0.1,1159,100,10,842,0.000734068
1,27,Dinic,236,150,0.1,1107,100,10,412,0.000331146
1,28,Dinic,237,150,0.1,1156,100,10,567,0.000398737
1,29,Dinic,238,150,0.1,1081,100,10,222,0.000364682
1,30,Dinic,239,150,0.1,1136,100,10,407,0.000185073
1,1,Dinic,240,150,0.2,2267,100,10,894,0.00076829
1,2,Dinic,241,150,0.2,2243,100,10,1187,0.000954047
1,3,Dinic,242,150,0.2,2250,100,10,1301,0.00102664
1,4,Dinic,243,150,0.2,2191,100,10,1116,0.000434367
1,5,Dinic,244,150,0.2,2236,100,10,1184,0.000996917
1,6,Dinic,245,150,0.2,2224,100,10,1113,0.000954437
1,7,Dinic,246,150,0.2,2190,100,10,1307,0.000955251
1,8,Dinic,247,150,0.2,2240,100,10,809,0.000708031
1,9,Dinic,248,150,0.2,2134,100,10,1365,0.000334312
1,10,Dinic,249,150,0.2,2204,100,10,1046,0.000893659
1,11,Dinic,250,150,0.2,2211,100,10,1084,0.00115121
1,12,Dinic,251,150,0.2,2231,100,10,1554,0.00089977
1,13,Dinic,252,150,0.2,2242,100,10,1273,0.000498255
1,14,Dinic,253,150,0.2,2266,100,10,1185,0.000684013
1,15,Dinic,254,150,0.2,2275,100,10,1325,0.00037759
1,16,Dinic,255,150,0.2,2283,100,10,654,0.000313998
1,17,Dinic,256,150,0.2,2327,100,10,1321,0.000904345
1,18,Dinic,257,150,0.2,2224,100,10,1042,0.000949751
1,19,Dinic,258,150,0.2,2194,100,10,968,0.000744383
1,20,Dinic,259,150,0.2,2168,100,10,987,0.00059431
1,21,Dinic,260,150,0.2,2226,100,10,660,0.000783104
1,22,Dinic,261,150,0.2,2310,100,10,958,0.000606494
1,23,Dinic,262,150,0.2,2226,100,10,991,0.000399682
1,24,Dinic,263,150,0.2,2313,100,10,993,0.000684198
1,25,Dinic,264,150,0.2,2314,100,10,1297,0.000772234
1,26,Dinic,265,150,0.2,2241,100,10,1150,0.000244794
1,27,Dinic,266,150,0.2,2209,100,10,874,0.000540328
1,28,Dinic,267,150,0.2,2187,100,10,1339,0.000418182
1,29,Dinic,268,150,0.2,2141,100,10,896,0.00109038
